age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,auto_year,fraud_reported
28,2003-04-21,OH,250/500,500,7.143435911633738,0,447300,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500,2015-02-05,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,13,2,YES,0,1,?,55440,Suburu,Forrestor,2009,Y
27,2002-09-22,OH,250/500,500,7.286855877658973,5000000,441783,MALE,MD,sales,yachting,other-relative,0,0,2015-02-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,2,3,NO,1,2,NO,80850,Ford,F150,2011,Y
40,1998-02-10,OH,100/300,500,7.122584360692262,0,468702,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600,2015-01-27,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,5,1,YES,1,1,NO,7480,Saab,95,1998,N
61,1992-09-01,OH,250/500,500,6.958220230388349,0,467942,MALE,PhD,transport-moving,movies,wife,41500,-70200,2015-01-26,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,21,1,?,2,3,NO,53640,Nissan,Maxima,2004,Y
23,1999-05-01,OH,500/1000,1000,7.445838029038467,0,463678,FEMALE,JD,tech-support,base-jumping,wife,0,0,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,21,3,NO,2,2,NO,63250,Chevrolet,Tahoe,2002,Y
57,1997-12-19,IL,100/300,500,6.764265898332273,7000000,615220,FEMALE,High School,farming-fishing,golf,own-child,0,0,2015-01-14,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,7,3,NO,0,1,?,59040,Dodge,RAM,1995,N
36,2000-06-18,IL,250/500,500,7.0514139669987,0,432711,MALE,Associate,craft-repair,base-jumping,other-relative,0,0,2015-02-22,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,16,3,YES,1,0,YES,50500,Accura,TL,2004,N
43,1995-04-24,OH,500/1000,2000,7.156371626269378,0,463583,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0,2015-01-17,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,13,1,YES,0,1,NO,57690,Mercedes,C300,2010,Y
40,2006-06-16,IL,100/300,500,7.203256700486049,0,439502,FEMALE,MD,sales,base-jumping,husband,0,0,2015-02-02,Vehicle Theft,?,Trivial Damage,Police,NY,Springfield,2,1,YES,1,3,YES,5940,Toyota,Camry,2014,N
30,2007-09-28,OH,250/500,2000,7.275393901549845,0,613287,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,19,3,?,0,2,YES,47790,Suburu,Impreza,1995,Y
29,1991-11-21,OH,250/500,1000,7.396911814697259,0,620104,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100,2015-02-02,Parked Car,?,Trivial Damage,Unknown,SC,Riverwood,17,1,?,0,1,NO,3850,Dodge,Neon,2014,N
31,1996-09-21,IL,100/300,2000,7.03445841201308,0,446895,MALE,PhD,other-service,reading,husband,0,0,2015-02-07,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,3,1,?,2,0,?,59000,Ford,Fusion,2013,Y
43,2001-05-16,OH,250/500,500,7.303109443339572,8000000,431531,MALE,College,machine-op-inspct,golf,husband,0,-33600,2015-01-18,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,17,3,NO,0,1,?,70600,Volkswagen,Passat,2013,Y
40,1999-08-11,IN,500/1000,2000,7.174471597968678,7000000,605408,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000,2015-01-10,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,5,3,?,1,1,?,61490,Dodge,RAM,2001,N
30,2003-06-16,IL,500/1000,2000,6.943884680489768,0,457551,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,9,1,NO,1,0,YES,57640,Volkswagen,Passat,2010,N
57,1999-03-30,IL,250/500,500,7.245797710772868,0,619892,FEMALE,High School,craft-repair,movies,own-child,51500,0,2015-01-25,Vehicle Theft,?,Trivial Damage,Police,NC,Hillsdale,9,1,NO,1,0,NO,6890,Audi,A5,1999,N
45,1999-02-03,IL,250/500,1000,7.418450894297395,0,445853,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,9,3,?,2,2,?,53280,Toyota,Camry,2006,Y
29,2011-08-25,IN,500/1000,2000,6.484116016895063,0,475483,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,22,3,NO,0,0,?,78300,BMW,X5,2009,N
37,2010-06-28,OH,100/300,500,6.985762069428099,0,606290,MALE,Associate,protective-serv,reading,other-relative,0,-61000,2015-01-04,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,15,3,YES,0,3,NO,41490,Nissan,Pathfinder,2001,N
36,2001-11-06,IN,100/300,2000,7.205768797772165,0,611852,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300,2015-02-25,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,14,3,YES,2,3,YES,68970,Chevrolet,Tahoe,2007,N
55,2013-04-15,OH,250/500,2000,7.371828860197072,0,444734,MALE,College,handlers-cleaners,camping,husband,55400,0,2015-01-27,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,6,3,?,2,0,YES,85300,Toyota,Highlander,2003,N
40,1995-12-07,IL,100/300,1000,7.133016586267348,0,433683,FEMALE,Associate,other-service,camping,wife,71200,0,2015-02-19,Parked Car,?,Minor Damage,Unknown,NY,Hillsdale,6,1,NO,0,0,NO,3080,Audi,A3,2012,N
47,1991-11-01,IL,100/300,2000,6.988422407049292,0,448882,MALE,MD,craft-repair,paintball,other-relative,91900,0,2015-01-31,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,22,4,YES,2,0,?,71760,Jeep,Grand Cherokee,2010,Y
26,2014-05-19,OH,100/300,500,6.883042416186732,0,466838,FEMALE,JD,armed-forces,skydiving,wife,62800,0,2015-01-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,14,3,?,1,0,NO,59700,Nissan,Ultima,2002,N
39,1992-03-15,IL,500/1000,2000,7.244834474223836,0,605490,FEMALE,Masters,other-service,skydiving,other-relative,49900,-19800,2015-01-10,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,16,3,NO,0,2,?,64920,Ford,Fusion,1997,N
43,2006-02-03,IN,500/1000,500,7.176820121276854,0,466137,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700,2015-01-28,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,10,3,?,0,1,NO,37530,Jeep,Wrangler,2008,N
42,2003-03-16,IN,250/500,2000,7.10682742471694,0,466970,MALE,Associate,tech-support,paintball,husband,53100,-63400,2015-02-16,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,9,3,YES,1,2,NO,64080,Saab,93,2012,N
41,2002-10-16,OH,100/300,500,7.252974860075018,0,474801,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0,2015-02-08,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4,1,NO,1,0,?,60390,BMW,M5,2004,Y
33,1990-01-27,IL,100/300,2000,6.544559118053139,0,450703,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,2015-01-20,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,6,3,?,0,1,YES,64350,Nissan,Pathfinder,2011,Y
38,2010-03-11,IL,100/300,500,6.915495247992354,6000000,478172,FEMALE,College,other-service,sleeping,own-child,0,0,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,15,3,YES,2,1,YES,70900,BMW,X6,1997,N
39,1995-09-19,OH,250/500,1000,7.260775552742054,0,604668,FEMALE,JD,craft-repair,movies,unmarried,0,-83900,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,12,3,NO,1,3,?,46560,Nissan,Ultima,2012,N
33,2010-02-27,IN,100/300,1000,7.207356040827445,0,469429,FEMALE,Associate,craft-repair,cross-fit,wife,37600,-37600,2015-01-14,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,3,1,NO,2,1,?,4730,Chevrolet,Malibu,2013,Y
40,1991-12-28,OH,250/500,2000,7.182777553287127,0,471806,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0,2015-02-18,Vehicle Theft,?,Minor Damage,Police,SC,Northbrook,14,1,YES,0,0,YES,6820,Jeep,Grand Cherokee,2003,N
58,2002-04-30,OH,250/500,2000,7.249932638965494,5000000,475705,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600,2015-01-10,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,10,1,?,0,2,?,59900,BMW,X5,1997,Y
36,2007-04-28,OH,250/500,2000,7.236756822192347,0,459122,FEMALE,MD,priv-house-serv,basketball,own-child,0,-49400,2015-02-13,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,17,3,?,1,3,YES,79560,Ford,Escape,2009,N
33,1996-07-08,IL,500/1000,500,7.179125025941613,0,476737,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,8,1,YES,0,1,?,70290,Accura,MDX,2008,N
31,2002-04-01,IN,100/300,1000,6.913369489766605,6000000,460359,MALE,JD,priv-house-serv,hiking,not-in-family,26900,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,14,3,YES,2,0,NO,63910,Suburu,Forrestor,1999,N
40,2006-10-29,OH,100/300,500,7.03518937079049,0,452735,FEMALE,Associate,transport-moving,golf,not-in-family,68700,0,2015-01-29,Vehicle Theft,?,Trivial Damage,Unknown,SC,Riverwood,6,1,?,1,0,NO,6400,Toyota,Camry,1997,N
25,2007-10-25,IN,250/500,1000,7.085901464365611,0,613583,FEMALE,JD,handlers-cleaners,movies,husband,0,0,2015-02-13,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,6,1,YES,1,2,YES,66780,Ford,Escape,2013,Y
39,2001-03-28,IN,500/1000,1000,7.130298650224314,4000000,605692,FEMALE,College,sales,hiking,own-child,0,-33300,2015-02-01,Parked Car,?,Minor Damage,Police,VA,Northbrook,8,1,NO,0,2,?,8760,BMW,3 Series,2013,N
42,1995-05-04,OH,100/300,500,7.20008155042757,-1000000,438178,MALE,Associate,machine-op-inspct,kayaking,wife,0,0,2015-01-29,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,13,1,YES,0,1,?,94160,Chevrolet,Malibu,1996,N
40,2011-09-28,IL,250/500,2000,6.663426394874943,0,449221,MALE,College,protective-serv,golf,other-relative,64200,-32300,2015-02-06,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,0,3,?,0,2,NO,51570,BMW,X5,2010,N
31,2003-01-28,IL,250/500,2000,7.221031996095399,0,459322,FEMALE,High School,handlers-cleaners,polo,husband,0,-15700,2015-01-28,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,14,3,?,1,0,NO,52700,BMW,X6,2014,Y
34,2011-02-01,IL,500/1000,1000,7.152120058745075,0,472657,MALE,High School,sales,dancing,wife,0,-48300,2015-01-21,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,13,1,YES,2,2,?,101010,Mercedes,ML350,1998,N
37,1993-02-09,IN,250/500,500,6.995445592109125,0,608331,MALE,High School,exec-managerial,golf,unmarried,0,-51800,2015-01-16,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,16,4,?,1,2,YES,53400,Honda,Civic,2010,Y
31,2005-08-05,IN,250/500,500,7.190676034332207,0,438546,FEMALE,Associate,prof-specialty,basketball,wife,0,-54600,2015-02-17,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,13,1,?,1,2,NO,72120,Mercedes,ML350,2009,N
43,2006-06-17,IL,250/500,2000,6.880867007696426,0,441981,MALE,College,protective-serv,reading,wife,0,-58100,2015-02-01,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,15,3,YES,2,2,YES,77100,Audi,A3,2010,N
39,1993-12-07,IL,100/300,500,6.69370773329316,0,602177,FEMALE,College,handlers-cleaners,dancing,wife,0,0,2015-02-25,Parked Car,?,Trivial Damage,Police,SC,Northbend,3,1,?,2,3,?,3300,Dodge,RAM,2003,N
35,2012-03-14,IL,500/1000,500,7.256466597261369,0,441659,FEMALE,MD,adm-clerical,golf,not-in-family,0,0,2015-02-26,Parked Car,?,Minor Damage,Unknown,WV,Northbend,7,1,YES,1,0,?,5940,Nissan,Pathfinder,2003,N
27,1997-08-05,IN,250/500,2000,7.001828330222026,0,614812,MALE,High School,transport-moving,video-games,other-relative,27100,0,2015-02-06,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,16,2,NO,1,0,?,63720,Accura,TL,2006,N
43,2009-07-05,IL,100/300,500,6.85514532870984,0,458470,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-39300,2015-02-03,Vehicle Theft,?,Trivial Damage,Police,SC,Riverwood,15,1,NO,1,3,NO,7680,Audi,A5,2008,N
31,1994-11-25,IL,100/300,2000,6.927293165355178,5000000,469646,MALE,Associate,handlers-cleaners,yachting,own-child,20000,-82700,2015-01-27,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,21,3,YES,1,2,?,93730,Honda,CRV,2001,N
44,1997-02-03,IL,100/300,2000,7.245469601038617,0,611118,MALE,College,sales,base-jumping,other-relative,34000,-55600,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,23,3,YES,0,2,?,87300,Jeep,Wrangler,2013,N
40,2009-10-09,IL,250/500,500,7.053179421672273,5000000,465158,MALE,JD,transport-moving,camping,wife,0,-35200,2015-01-24,Parked Car,?,Trivial Damage,Police,NY,Columbus,5,1,?,0,2,NO,5670,Ford,F150,1997,N
47,2002-11-20,IN,250/500,500,7.235568707518342,0,457130,MALE,High School,priv-house-serv,bungie-jumping,husband,54100,-77600,2015-01-17,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,15,3,YES,0,0,NO,65800,Accura,TL,2001,N
34,1995-05-29,OH,100/300,500,6.820332908455324,0,607893,FEMALE,JD,handlers-cleaners,base-jumping,wife,82400,-57100,2015-02-23,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,14,1,?,2,1,YES,36720,Honda,Accord,2009,Y
29,2011-01-22,IL,250/500,500,7.123310108647671,2000000,464736,FEMALE,PhD,farming-fishing,kayaking,own-child,0,0,2015-01-09,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,1,1,?,1,1,YES,52800,Mercedes,ML350,1996,Y
37,2012-10-18,IN,250/500,500,7.220681031670814,0,476198,FEMALE,Associate,protective-serv,cross-fit,unmarried,44000,0,2015-02-15,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,14,3,NO,1,2,YES,59100,Nissan,Maxima,1998,Y
37,1991-10-13,OH,500/1000,1000,6.991618371989128,6000000,444903,MALE,Associate,machine-op-inspct,hiking,unmarried,0,-53800,2015-01-16,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,17,3,?,1,1,YES,77440,Suburu,Legacy,1999,N
36,2010-10-01,IL,250/500,2000,7.129994421441925,0,464336,MALE,Masters,armed-forces,golf,husband,0,-39700,2015-01-14,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,20,3,NO,2,2,NO,45700,BMW,3 Series,2008,N
41,2013-04-10,OH,100/300,2000,7.180640922191161,0,471453,FEMALE,PhD,sales,dancing,other-relative,81300,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,10,3,NO,2,2,YES,80740,Toyota,Camry,2014,Y
26,2008-06-11,IN,100/300,2000,6.6420173300355065,0,466191,MALE,MD,sales,base-jumping,not-in-family,0,-22200,2015-02-16,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,3,3,?,0,3,?,31350,Honda,Accord,2001,Y
33,2013-12-04,OH,100/300,2000,7.191738017327314,0,440930,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0,-38600,2015-01-04,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,0,1,?,0,0,?,35000,Suburu,Legacy,2012,N
59,2010-08-21,OH,500/1000,1000,7.20008901564897,0,430380,MALE,PhD,protective-serv,board-games,own-child,39000,0,2015-01-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,10,3,?,2,2,NO,68000,Toyota,Corolla,2014,N
30,2010-06-18,IL,250/500,2000,7.183589947274538,8000000,613178,FEMALE,Masters,machine-op-inspct,golf,unmarried,43900,0,2015-01-08,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,13,3,YES,2,0,?,84500,BMW,X6,2009,N
42,1992-04-10,IL,500/1000,1000,7.16041102951024,0,460564,FEMALE,MD,transport-moving,bungie-jumping,wife,0,-39500,2015-01-22,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,14,1,NO,2,1,?,75500,Nissan,Ultima,1998,N
46,1997-02-03,OH,500/1000,1000,7.224884496956646,0,439929,MALE,High School,exec-managerial,bungie-jumping,not-in-family,0,0,2015-01-13,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,22,3,NO,1,3,?,90600,BMW,X5,2009,N
45,1991-12-06,IN,500/1000,2000,7.278470199562987,0,605756,FEMALE,Associate,adm-clerical,camping,wife,39400,-63900,2015-01-18,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,8,3,YES,1,1,?,64320,Accura,MDX,1998,N
33,1995-09-19,IL,250/500,500,6.807183280056108,0,451184,FEMALE,High School,transport-moving,yachting,not-in-family,0,0,2015-01-19,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,1,3,?,1,0,?,31700,Toyota,Highlander,2006,N
30,1993-10-29,IN,500/1000,1000,7.283049797745185,0,459588,MALE,Associate,protective-serv,reading,other-relative,51600,-73900,2015-01-31,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,19,1,YES,0,1,YES,74280,Suburu,Forrestor,2006,Y
37,1991-11-03,IL,100/300,2000,7.380517599537473,0,616637,FEMALE,High School,sales,video-games,wife,61600,-30200,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,17,1,YES,0,2,YES,80520,Toyota,Corolla,2005,N
30,2002-07-09,IN,250/500,2000,7.388686484193728,0,447979,MALE,JD,adm-clerical,polo,husband,58500,-46800,2015-02-04,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,13,3,YES,0,3,YES,63600,Dodge,RAM,2010,N
44,1999-12-07,IL,250/500,500,7.385745678894525,0,460176,MALE,High School,handlers-cleaners,movies,husband,0,0,2015-01-02,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,4,1,?,1,2,YES,32800,BMW,3 Series,2012,N
50,2005-07-01,OH,500/1000,500,6.791367519475109,0,459429,FEMALE,Masters,priv-house-serv,board-games,other-relative,0,0,2015-02-26,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,14,3,NO,0,2,NO,44190,Audi,A3,2015,N
26,1991-11-04,IL,250/500,1000,7.133359799625707,0,465456,MALE,College,exec-managerial,sleeping,not-in-family,0,0,2015-02-08,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,4,2,YES,2,2,NO,50400,Honda,CRV,2000,Y
55,1993-04-14,IL,500/1000,2000,6.904309348577837,0,464665,MALE,JD,tech-support,sleeping,not-in-family,0,-65400,2015-02-07,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Northbend,23,3,YES,1,1,YES,88400,Nissan,Pathfinder,2010,N
49,2009-08-23,IL,100/300,2000,7.207059551261706,0,430853,FEMALE,High School,farming-fishing,bungie-jumping,own-child,0,-42100,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,21,3,YES,0,2,?,66550,Volkswagen,Jetta,2003,N
47,1993-06-18,IN,100/300,1000,7.453034502017492,0,615712,MALE,PhD,craft-repair,yachting,own-child,0,0,2015-01-12,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,23,3,YES,0,0,?,65780,Chevrolet,Tahoe,2014,N
40,2012-07-17,IN,250/500,500,7.230512464217303,0,608228,MALE,MD,armed-forces,base-jumping,husband,0,0,2015-02-01,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,6,3,?,0,2,YES,51810,Audi,A3,2002,Y
31,1999-01-25,IN,250/500,1000,7.349642315502046,4000000,457535,MALE,PhD,protective-serv,board-games,own-child,0,-27900,2015-02-03,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,21,1,NO,1,0,NO,55660,Honda,CRV,2009,Y
28,1990-02-23,OH,500/1000,1000,7.22907036705702,0,442540,MALE,Masters,machine-op-inspct,base-jumping,not-in-family,0,0,2015-02-21,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,23,1,?,2,3,?,44640,Toyota,Camry,2005,N
46,2000-08-30,IL,500/1000,2000,7.181082309066307,0,455332,FEMALE,PhD,transport-moving,reading,husband,53500,-73600,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,3,3,?,1,3,NO,77660,Nissan,Maxima,2004,Y
25,2008-09-03,IN,250/500,500,7.138882872835421,0,439534,FEMALE,JD,tech-support,base-jumping,unmarried,67000,-53600,2015-02-16,Parked Car,?,Trivial Damage,Unknown,SC,Northbend,8,1,NO,2,2,?,5640,Nissan,Ultima,2005,N
26,1991-08-02,IL,500/1000,1000,7.224666002094048,0,462420,FEMALE,MD,prof-specialty,reading,husband,0,0,2015-02-04,Parked Car,?,Trivial Damage,Unknown,VA,Arlington,4,1,?,2,2,?,3190,Suburu,Legacy,1995,N
30,2001-09-25,OH,100/300,500,7.244420354151659,6000000,448913,MALE,College,prof-specialty,hiking,wife,38900,-48700,2015-02-24,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,22,1,?,0,0,YES,53440,Ford,Escape,2004,N
31,2007-03-11,IL,500/1000,1000,6.968831563489503,6000000,440837,FEMALE,JD,armed-forces,camping,unmarried,0,0,2015-02-01,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,16,1,NO,0,1,YES,65250,BMW,3 Series,2002,N
39,2010-11-20,OH,250/500,500,7.219978733077271,4000000,466634,MALE,College,armed-forces,sleeping,unmarried,0,-56600,2015-02-05,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,14,3,NO,2,1,NO,44280,Chevrolet,Silverado,2008,N
37,1998-08-28,IL,500/1000,1000,6.797270545806865,0,446435,MALE,Associate,tech-support,camping,wife,0,-53700,2015-01-07,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,13,1,YES,2,0,NO,70290,Dodge,RAM,1999,N
30,2002-07-16,IN,250/500,500,6.86452413478986,0,438237,FEMALE,Associate,priv-house-serv,movies,husband,39600,-64300,2015-02-06,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,20,1,?,1,1,YES,87100,Saab,92x,2000,N
35,1990-04-29,IN,500/1000,2000,7.025440532080184,0,468313,MALE,MD,priv-house-serv,video-games,unmarried,35400,-49200,2015-01-21,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,0,3,?,1,3,?,50380,Suburu,Forrestor,1996,N
45,1998-02-01,IL,100/300,500,6.990284124421729,0,476303,FEMALE,JD,sales,cross-fit,wife,0,-61000,2015-03-01,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Arlington,23,3,YES,2,2,NO,64800,Audi,A3,2014,Y
42,2008-07-20,OH,100/300,2000,7.27123799734963,0,450339,FEMALE,Associate,craft-repair,movies,wife,25000,0,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,13,1,YES,1,3,NO,70400,BMW,3 Series,2000,N
26,1998-11-13,IL,250/500,1000,6.896987514120807,0,476502,MALE,College,armed-forces,skydiving,own-child,0,0,2015-02-02,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Northbend,8,1,?,2,2,YES,57860,Suburu,Impreza,2008,Y
47,2001-05-24,IL,500/1000,500,7.122777944986727,0,600561,MALE,Masters,protective-serv,sleeping,other-relative,0,0,2015-01-31,Vehicle Theft,?,Minor Damage,Unknown,WV,Northbend,3,1,?,0,3,NO,6240,Ford,Fusion,2011,N
38,2014-06-03,IN,100/300,1000,7.233917405751765,5000000,600754,FEMALE,Associate,tech-support,board-games,unmarried,0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,VA,Columbus,16,1,?,2,3,NO,66600,Jeep,Grand Cherokee,2012,Y
28,1991-08-22,IN,100/300,2000,7.37529963669707,0,439304,MALE,PhD,transport-moving,hiking,unmarried,75800,0,2015-02-23,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,19,1,YES,0,2,YES,70920,Jeep,Wrangler,2002,N
56,1998-12-12,OH,250/500,1000,7.028990128047738,6000000,460722,MALE,Associate,machine-op-inspct,skydiving,own-child,67400,-43800,2015-01-28,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,0,1,YES,2,0,YES,39480,Suburu,Forrestor,2002,N
43,1999-02-18,IN,500/1000,2000,6.835936991191665,6000000,618632,FEMALE,PhD,handlers-cleaners,base-jumping,husband,46400,-74300,2015-01-14,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Arlington,12,1,?,2,2,YES,63240,Mercedes,E400,2005,N
34,1997-10-30,IL,100/300,1000,7.512415448885881,0,452204,MALE,JD,tech-support,cross-fit,not-in-family,56700,0,2015-02-03,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,21,3,YES,1,0,?,67650,Audi,A5,2009,N
39,1999-11-29,IL,100/300,1000,6.808708125380903,7000000,454530,FEMALE,MD,craft-repair,bungie-jumping,unmarried,68600,-22300,2015-02-17,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,0,1,?,1,3,NO,74200,Accura,TL,2002,Y
43,2013-07-07,OH,500/1000,1000,7.126762286583944,0,474848,FEMALE,JD,tech-support,polo,own-child,47900,-73400,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,Columbus,22,1,YES,1,3,NO,64900,Volkswagen,Jetta,2011,N
44,2003-07-05,IL,500/1000,2000,6.9392054952553845,0,435985,FEMALE,Associate,machine-op-inspct,paintball,other-relative,47200,0,2015-02-03,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Northbend,20,3,?,1,0,NO,35900,Audi,A3,2007,Y
